ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
264,-46646596,-23518225,355030809000039,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,CDM ROBERTO RUSSO,"RUA DOS ITALIANOS, 1261",BOM RETIRO,01131-000,11,1
265,-46643175,-23520562,355030809000039,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,CDM UNIÃO DO BOM RETIRO,"RUA GENERAL FLORES, 788",BOM RETIRO,01129-010,11,1
266,-46652242,-23480577,355030851000078,3550308005128,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,CDM AMIGOS LAUZANE PAULISTA,"RUA  DOLORES DURAM, 287",VILA BASILÉIA,02471-040,11,1
267,-46640568,-23477697,355030851000133,3550308005129,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,CDM RESIDENCIAL SANTA TEREZINHA,"RUA CORONEL JOAQUIM FERREIRA DE SOUSA, 311",CONJ. RES. STA TEREZINHA,02419-070,11,1
268,-46622650,-23519421,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,CDM FRANCISCO REYNALDO FIRAGI,"AVENIDA PRESIDENTE CASTELO BRANCO, 760",BOM RETIRO,01142-200,11,1
269,-46622650,-23519421,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,CDM AMIGOS DO BOM RETIRO,"AVENIDA PRESIDENTE CASTELO BRANCO, 800",BOM RETIRO,01142-010,11,1
270,-46618933,-23525372,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,CDM SERRA MORENA,"RUA  ARAGUAIA, 749",CANINDÉ,03034-030,11,1
271,-46617629,-23523312,355030856000008,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,CDM ESTRELA DO PARI,"RUA DA Piscina, 108",CANINDÉ,03034-070,11,1
272,-46609032,-23524115,355030856000018,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,CDM VIGOR,"AVENIDA  CARLOS DE CAMPOS, 935",PARI,03028-030,11,1
273,-46601641,-23517309,355030886000027,3550308005031,88,VILA GUILHERME,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CDM CENTRO DA COROA FUTEBOL CLUBE,"RUA  JOÃO VENTURA BATISTA, 907",VILA GUILHERME,02054-100,11,1
274,-46609999,-23468358,355030882000076,3550308005131,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,CDM COPA 70,"RUA  EDUARDO V. NASSER, 352",TUCURUVI,02344-050,11,1
275,-46588837,-23570007,355030853000049,3550308005018,54,MOOCA,25,MOOCA,Leste,Leste 1,CDM PARQUE DA MOÓCA,"RUA  MARIA LUIZA DO PINHO, 113",PARQUE DA MOOCA,03124-000,11,1
276,-46570345,-23587227,355030893000018,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,CDM FERNANDO ROMERA VAL (ANTIGO JARDIM AVELINO),"RUA  JOÃO BATISTA MENDO, 150",JARDIM AVELINO,03227-040,11,1
277,-46575017,-23570643,355030801000007,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,CDM JARDIM ITÁLIA,"RUA  FAROL PAULISTANO, 300",VILA ORATÓRIO,03192-060,11,1
278,-46563705,-23570350,355030801000037,3550308005041,01,AGUA RASA,25,MOOCA,Leste,Leste 1,CDM VILA INVERNADA,"RUA  RAIMUNDO CORREIA, 131",VILA DIVA,03351-050,11,1
279,-46551935,-23587219,355030872000086,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CDM VILA DARLY E JARDIM TEREZA,"RUA  BARTOLOMEU CORREA BUENO, 178",JD. TEREZA,03261-040,11,1
280,-46550718,-23584499,355030872000059,3550308005081,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CDM VICENTE ÍTALO FEOLA,"RUA  DOMINGOS DA SILVA BUENO, 61",JD. TEREZA,03261-010,11,1
281,-46549044,-23568621,355030885000019,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,CDM ROBERTO JORGE (LEÃO X),"PRAÇA  LEÃO X, 130",VILA FORMOSA,,11,1
282,-46535422,-23587839,355030872000068,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CDM BADEN POWELL,"RUA  ULPIANO DOS SANTOS, 135",VILA HELOISA,03286-220,11,1
283,-46533285,-23588854,355030872000069,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CDM UNIVERSO,"PRAÇA  HERENY DA COSTA, 89",VILA ELEONICE,03286-160,11,1
284,-46538046,-23584270,355030872000066,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CDM KALIL ALLE MAMEDE,"RUA  LEONIDIO PORCIONATO, 383",PQ.TOMAS SARAIVA,03280-040,11,1
285,-46534947,-23565933,355030885000040,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,CDM WALDEMAR MORENO,"RUA  AZEVEDO E. BRITO, 42",VILA FORMOSA,03366-040,11,1
286,-46544915,-23559318,355030885000075,3550308005040,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,CDM JARDIM TEXTIL,"RUA  BAILIQUE, 99",VILA MAFRA,,11,1
